Created on 10-22-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-08,XRPUSD,0.4845,0.4877,0.475,0.4782,1833308.51,886778.78
2018-07-07,XRPUSD,0.4758,0.4865,0.4627,0.4845,1582699.64,745639.18
2018-07-06,XRPUSD,0.4776,0.481,0.459,0.4758,2223295.76,1045726.72
2018-07-05,XRPUSD,0.492,0.5002,0.4696,0.4776,3704421.86,1792479.84
2018-07-04,XRPUSD,0.4847,0.506,0.475,0.492,2994379.24,1472256.98
2018-07-03,XRPUSD,0.4891,0.52,0.4778,0.4847,4548523.61,2258149.71
2018-07-02,XRPUSD,0.4616,0.4974,0.452,0.4891,6659989.34,3212826.25
2018-07-01,XRPUSD,0.4687,0.4696,0.4502,0.4616,1722319.43,788693.54
2018-06-30,XRPUSD,0.4545,0.482,0.4544,0.4687,3627713.68,1697638.54
2018-06-29,XRPUSD,0.4474,0.46,0.4241,0.4545,5053905.93,2216423.37
2018-06-28,XRPUSD,0.471,0.4725,0.4392,0.4474,3663110.21,1661086.08
2018-06-27,XRPUSD,0.4526,0.4749,0.448,0.471,3169290.8,1461612.95
2018-06-26,XRPUSD,0.4802,0.4823,0.4516,0.4526,2392437.27,1129846.43
2018-06-25,XRPUSD,0.4744,0.4929,0.4722,0.4802,4646796.5,2227638.98
2018-06-24,XRPUSD,0.4899,0.4949,0.4402,0.4744,8037433.45,3726276.75
2018-06-23,XRPUSD,0.4816,0.4939,0.4758,0.4899,1582643.81,770530.24
2018-06-22,XRPUSD,0.5332,0.5366,0.47,0.4816,6422776.74,3193230.37
2018-06-21,XRPUSD,0.54,0.549,0.5302,0.5332,1278810.79,688240.97
2018-06-20,XRPUSD,0.5492,0.55,0.5229,0.54,2025684.88,1085760.2
2018-06-19,XRPUSD,0.5386,0.5882,0.5341,0.5492,3200867.2,1745221.85
2018-06-18,XRPUSD,0.5259,0.5512,0.5097,0.5386,3942577.46,2089289.74
2018-06-17,XRPUSD,0.5337,0.54,0.5224,0.5259,1425260.92,756582.75
2018-06-16,XRPUSD,0.533,0.5381,0.5187,0.5337,1539447.11,816753.16
2018-06-15,XRPUSD,0.5564,0.5627,0.5281,0.533,3821556.32,2086438.25
2018-06-14,XRPUSD,0.5282,0.568,0.5205,0.5564,7567706.55,4131667.78
2018-06-13,XRPUSD,0.5585,0.5603,0.502,0.5282,8488603.77,4496285.83
2018-06-12,XRPUSD,0.5985,0.5994,0.5448,0.5585,6493970.75,3718127.2
2018-06-11,XRPUSD,0.5827,0.5999,0.561,0.5985,5721463.47,3309660.64
2018-06-10,XRPUSD,0.6578,0.6578,0.555,0.5827,8733025.08,5279573.88
2018-06-09,XRPUSD,0.6725,0.6799,0.6564,0.6578,2001450.58,1332704.78
2018-06-08,XRPUSD,0.6782,0.68,0.6564,0.6725,1891857.91,1267376.81
2018-06-07,XRPUSD,0.6747,0.6885,0.6687,0.6782,2686328.78,1823482.23
2018-06-06,XRPUSD,0.6737,0.6849,0.654,0.6747,3979827.4,2663052.17
2018-06-05,XRPUSD,0.6555,0.685,0.634,0.6737,5079532.97,3353596.32
2018-06-04,XRPUSD,0.6876,0.7041,0.6352,0.6555,10199495.53,6774326.87
2018-06-03,XRPUSD,0.6421,0.6882,0.6374,0.6876,7187757.21,4753172.85
2018-06-02,XRPUSD,0.6203,0.6495,0.61,0.6421,6076647.71,3851710.21
2018-06-01,XRPUSD,0.6111,0.6235,0.6042,0.6203,4601488.29,2814766.93
2018-05-31,XRPUSD,0.6005,0.62,0.5882,0.6111,3552161.91,2160792.31
2018-05-30,XRPUSD,0.5999,0.6263,0.5818,0.6005,6130002.78,3684843.37
2018-05-29,XRPUSD,0.548,0.61,0.5455,0.5999,7682322.16,4473337.6
2018-05-28,XRPUSD,0.6033,0.6093,0.5457,0.548,6673363.72,3844169.57
2018-05-27,XRPUSD,0.6079,0.6102,0.5964,0.6033,2303223.91,1388324.89
